TotalDisplacement 33417369
MaxDisplacement 7430
NumCells 44811
c10229 -43164 -23408
c1441 -42966 -6272
c9287 -43362 11368
c25243 -42834 -32480
c13649 -43032 19936
c33782 -43098 40096
c24924 -43230 40600
c35472 -42834 -7280
c26011 -43296 37576
c32137 -42834 24472
c19036 -43362 51184
c2918 -43164 9856
c2624 -42240 34048
c33610 -44022 -40544
c30968 -42570 -32480
c28749 -41514 -51128
c32733 -43164 -42560
c36497 -42240 18424
c3902 -41646 4816
c42717 -42108 -12824
c9046 -43626 17416
c28745 -43362 31024
c41064 -42834 1288
c12462 -43098 17416
c394 -42702 -44072
c37176 -42570 57736
c6043 -42042 39592
c19575 -43032 -7784
c13426 -43296 38080
c27028 -42306 -44072
c9082 -42174 -31472
c5816 -43560 52192
c5094 -43098 53200
c27245 -42372 -12320
c21601 -42768 -54152
c10551 -42702 -19880
c27717 -43098 50176
c13800 -42240 19432
c4367 -42636 10864
c38046 -42042 -44072
c16553 -42900 -42560
c43951 -43296 43120
c34077 -42768 30520
c43523 -41976 38080
c24122 -42834 -39536
c21103 -42702 51688
c8650 -43098 37072
c16817 -42108 34048
c23838 -43230 43624
c43999 -43164 -5768
c7284 -42240 -12320
c36467 -41976 -12824
c14097 -42834 27496
c15005 -44286 24976
c8774 -41844 -13328
c35593 -42438 -11816
c33382 -43164 29512
c22924 -42636 -14840
c31896 -42504 -37520
c41387 -43494 -224
c5506 -42504 -34496
c20859 -42174 11368
c25538 -41976 18928
c8446 -41976 -21896
c10050 -42768 42616
c18533 -44022 -23912
c13176 -42174 4312
c9539 -41580 18928
c38711 -42174 -52136
c16061 -43230 -33488
c27113 -43758 56728
c11580 -42966 -56168
c2475 -42636 -21392
c23783 -42042 -22400
c40278 -42834 -33488
c3811 -43296 20440
c31932 -42570 -17864
c43417 -42240 784
c10076 -42306 -17360
c34180 -43296 32536
c33018 -42504 -54152
c34061 -41976 14896
c11603 -43230 -49616
c30951 -42042 -22904
c8225 -42438 -35000
c30045 -43230 23464
c25120 -42438 -7280
c14089 -41910 -57176
c22329 -42306 -13832
c39131 -41976 34552
c6789 -42438 -27440
c28385 -42966 -49616
c5566 -42900 -38528
c10432 -41514 -42056
c12549 -42768 20440
c15043 -42306 -49616
c6740 -42372 -21392
c9824 -42372 44632
c34041 -43032 43120
c18108 -44154 -24920
c29193 -42042 -11816
c38414 -41250 -51128
c33620 -43164 2296
c18912 -41844 -12320
c22959 -43560 45136
c36836 -42504 12376
c24014 -41448 -53648
c4804 -41646 -22400
c26955 -42372 -3752
c27951 -42636 -1736
c35299 -43560 -40040
c41304 -42702 -56168
c32778 -42966 -49112
c15540 -40986 -51632
c29623 -42042 -43064
c39956 -43824 48160
c4876 -42240 -23408
c43357 -41580 -26432
c28786 -41646 -11816
c34880 -42702 -54656
c11921 -42438 49672
c39732 -42504 -25424
c23585 -43362 6832
c21659 -42966 3304
c6194 -41778 -43568
c17600 -42306 -6776
c40879 -42174 -31976
c13494 -41646 -22904
c36794 -42504 12880
c4593 -42372 45136
c8272 -42372 20440
c26160 -42768 -33992
c22458 -41316 35560
c32191 -41514 33544
c39581 -41646 -6272
c15510 -41844 9352
c15927 -42702 52696
c33834 -41118 -41552
c9596 -41580 -12824
c37299 -42834 6832
c8819 -42042 17920
c20906 -42966 21952
c15956 -43626 -23912
c2491 -42240 -14840
c29281 -42834 17416
c6656 -42372 43120
c42128 -41910 7840
c11685 -42174 -17360
c41446 -43230 -40544
c23327 -43230 21448
c8465 -42240 16912
c38375 -41976 44128
c8753 -43230 -46088
c30529 -41910 -11312
c5360 -42042 -7280
c26144 -41052 18424
c1625 -42834 -40544
c39287 -41976 784
c17605 -41580 34552
c34691 -43428 -40040
c4803 -41184 35560
c37220 -42768 -7784
c17303 -43230 24976
c42756 -42834 -36512
c16642 -42570 17416
c34257 -43362 45640
c7981 -42174 -35000
c19021 -42702 22456
c36454 -41910 43624
c17449 -42636 -42560
c37294 -43032 -40040
c14838 -42108 43120
c41406 -42108 -41048
c6156 -42306 -10808
c24470 -42768 -40040
c15426 -42966 22960
c23636 -41910 -6776
c11046 -41118 4816
c5165 -42504 -3248
c7596 -42438 280
c20598 -41448 -21896
c14126 -40590 -42056
c17412 -41778 -49616
c11418 -41778 53200
c11698 -41976 -21392
c30447 -42372 -1736
c9218 -41580 58240
c37757 -43824 -24416
c30717 -42768 11872
c30740 -41778 -49112
c39940 -42636 30520
c29890 -43098 1792
c33763 -42900 32536
c36024 -41184 -50120
c11905 -41976 -18872
c16132 -43032 -32984
c28220 -41910 -43064
c34412 -42636 -33992
c887 -42636 13888
c9566 -42636 57232
c22929 -42438 53704
c16681 -42108 20440
c34533 -42966 -23912
c15727 -41844 -18872
c18610 -42372 42112
c28716 -42702 -23912
c42540 -43098 45640
c31165 -43098 -36008
c14357 -41712 -21392
c16395 -42438 -9800
c41751 -41448 43120
c38075 -42372 -42560
c13866 -43098 32032
c1509 -42966 -24920
c27055 -41910 8344
c24265 -42900 52192
c33906 -42768 -38024
c26950 -42372 51688
c31603 -42834 1792
c22296 -42042 10360
c8963 -41844 41608
c1120 -41646 17920
c13455 -42240 -42560
c343 -42570 -27944
c23789 -42174 3808
c16414 -41910 -10808
c33770 -42174 -9800
c6699 -41778 -44072
c13098 -41910 15400
c2081 -41316 42112
c43061 -43098 -20888
c44012 -43692 47656
c24930 -42966 -46088
c28253 -41910 14392
c24768 -41844 19936
c31188 -42306 56728
c10819 -42504 -37016
c8013 -41316 -21896
c5519 -41316 38584
c2049 -42108 36568
c35731 -42702 25480
c41518 -41118 57736
c9526 -40326 -42056
c10325 -41910 15904
c5927 -41844 -44576
c31378 -42042 -4256
c18567 -41646 36064
c21561 -41910 -13832
c41166 -42240 -34496
c7653 -42174 24976
c20430 -41976 12376
c9765 -41844 -5768
c28048 -42174 -224
c23942 -42570 6832
c27201 -42768 26488
c26443 -41778 280
c28776 -42174 45640
c29122 -42834 -20888
c24830 -41646 -40544
c9446 -41646 15400
c19799 -41514 -43568
c37525 -42570 -36512
c31209 -42042 6832
c19287 -41316 -25424
c12570 -41844 -34496
c24762 -42240 56224
c2409 -42504 48160
c2269 -42306 -32480
c15755 -41184 45136
c31491 -41778 -4256
c7213 -42504 -38528
c18025 -43164 20944
c34522 -43560 2800
c10292 -41712 36568
c5761 -41580 19936
c28849 -41844 35056
c36763 -43560 54208
c17279 -42108 42616
c30333 -39930 -41552
c15108 -42570 25984
c37799 -42372 -38024
c16833 -42240 28000
c39923 -41778 6832
c37528 -42570 1792
c18937 -41976 9856
c35086 -41778 -10808
c33216 -42372 -33992
c31675 -43560 -35504
c3854 -42636 -24416
c18285 -42702 51184
c40102 -41976 37576
c562 -43560 50680
c35635 -41382 33544
c21027 -41712 44128
c12845 -42240 -37520
c822 -42108 29512
c42860 -41910 -2744
c29874 -41052 19936
c304 -41514 -43064
c35200 -40062 -42056
c6974 -40656 9352
c13067 -42702 -46088
c25106 -42042 -32480
c20402 -41646 -7280
c35766 -42702 -20888
c20036 -41580 37576
c25675 -41778 -13832
c34458 -40986 33544
c14588 -41448 10864
c8559 -42042 -31472
c561 -41448 29512
c27376 -42768 -32984
c15717 -42306 -47096
c27053 -40524 18424
c26268 -43692 31528
c4929 -42834 48664
c41903 -42306 -20888
c40784 -42108 -2240
c42743 -42372 -38528
c31275 -41976 -19376
c39106 -42306 -15848
c31719 -42504 20944
c14931 -42306 -27944
c31435 -40986 11368
c40489 -43032 54208
c10250 -41646 52696
c25924 -41844 -30968
c1386 -41844 -1736
c24443 -43296 2800
c26534 -41514 -11312
c20772 -41910 -23912
c33860 -41580 -40040
c43153 -42438 -46088
c37394 -41184 -21896
c29402 -41844 20944
c24278 -42108 -33992
c7905 -41844 16912
c362 -41844 -42560
c26751 -41382 17920
c18986 -41184 44632
c13789 -41844 -10304
c24831 -41910 3808
c20082 -42042 21448
c24240 -41316 36568
c25926 -40920 38584
c40175 -42174 23464
c15787 -41910 25984
c21057 -42504 32536
c8582 -43362 -28952
c39334 -41976 -3248
c36078 -41844 -46592
c26866 -41514 -6776
c37247 -41118 -11312
c40333 -43362 46144
c31515 -41250 45640
c40021 -42768 -16856
c38005 -40986 -22904
c28268 -41184 39088
c38218 -42438 -33488
c17482 -39930 -42056
c24201 -42306 17416
c38264 -41844 52192
c21122 -42504 47656
c30956 -41316 -21392
c23862 -42240 32536
c6896 -41778 21952
c37524 -41778 37072
c23306 -41580 12376
c39891 -41316 -1232
c1133 -42306 -33488
c10034 -41184 37576
c15942 -41316 -26432
c34623 -41052 -25424
c6712 -42438 -56168
c42924 -41250 -43064
c30409 -41976 -38024
c19659 -42240 11872
c28029 -41712 30016
c20507 -41448 -1736
c27965 -39798 -42056
c31982 -41250 36064
c22578 -42438 49168
c2713 -41448 -12824
c25450 -41712 -37520
c33073 -41514 6832
c23746 -42108 13888
c27776 -42174 31024
c27806 -40260 18424
c22100 -41646 15904
c2202 -42306 -57680
c22729 -42174 -36512
c19418 -41052 30016
c24357 -41910 -20888
c20533 -41778 -24920
c21159 -43032 -35504
c41195 -42108 -3752
c36019 -41382 -25928
c7491 -42042 51184
c8912 -41844 13888
c40911 -43098 -29456
c14729 -41448 -12320
c36201 -42240 31528
c884 -42174 17416
c18180 -40788 5320
c10650 -40722 -51632
c37571 -40788 35560
c40801 -42042 -47096
c11125 -42504 -16856
c23727 -41778 -47096
c11112 -41646 13384
c29181 -41712 -47600
c858 -41844 -5264
c40169 -41052 37576
c42086 -41976 32536
c31698 -42570 -39536
c7455 -42966 46144
c30796 -41250 -43568
c37181 -41976 -38528
c3813 -41910 -27944
c33894 -43032 2800
c12409 -42174 -48104
c25298 -41118 -25928
c18775 -41052 -21392
c19273 -41448 -40040
c24731 -41382 -26936
c34987 -41646 17416
c14967 -41052 -12320
c41880 -41382 37072
c36472 -41250 6832
c37360 -41448 9856
c9026 -41580 -2240
c6110 -40260 28504
c12903 -41580 32536
c40521 -41646 25480
c42512 -40986 17920
c15878 -40788 39088
c8927 -42306 -55664
c16737 -42768 2800
c38091 -40986 -11816
c28763 -41382 -44072
c8447 -41712 -33992
c10974 -41580 -55160
c12941 -41448 -24416
c43396 -40656 39088
c3574 -41910 -16352
c5301 -41250 43624
c1669 -41382 -24920
c36823 -42306 1792
c23136 -40986 43624
c33845 -40854 23464
c40242 -41844 7336
c33643 -41778 3808
c43533 -41514 -47096
c18547 -39666 -42056
c42052 -41976 -56672
c9864 -40986 33040
c1 -41052 -1232
c25579 -42240 -45584
c9912 -41448 30520
c37087 -41514 48664
c3354 -40788 -25424
c36769 -42438 3304
c6177 -41514 21448
c204 -41778 40096
c12180 -40920 -21896
c27378 -41712 -42560
c37600 -42372 -48608
c1042 -41316 12880
c2772 -41976 11872
c16004 -41382 40096
c6004 -41712 -3248
c17448 -41382 -10808
c12756 -40986 37072
c18129 -41646 32032
c9174 -41778 -36512
c4747 -41316 48160
c12185 -42900 -35504
c11155 -41910 40600
c35493 -42174 49672
c28674 -39402 -42056
c18805 -42306 -39536
c20558 -42108 -35504
c21804 -40722 39592
c28770 -43296 47152
c25040 -40524 5320
c28612 -41580 13888
c41910 -41712 -56672
c15420 -42306 46144
c32375 -41382 280
c33814 -41910 46144
c17888 -42306 -39032
c30068 -41448 -3248
c3992 -41976 -9800
c4429 -42042 -54656
c32536 -41316 -12824
c609 -41382 17416
c4438 -41844 -52136
c36225 -41976 -45584
c9981 -43164 46648
c31285 -40656 38080
c14497 -42768 46648
c10661 -41448 -42560
c26033 -41184 9856
c4469 -41052 -23408
c4974 -41712 -45584
c24267 -41910 -48104
c32399 -39270 -42056
c41771 -42174 3304
c14243 -41316 -2240
c12691 -41448 -47600
c23657 -41778 3304
c1239 -40722 43624
c29811 -41646 6328
c23991 -41250 -49616
c40250 -40854 36064
c43644 -41778 -35000
c13000 -42108 54208
c43818 -42042 -15848
c43334 -41514 -33488
c27729 -41514 49168
c42955 -41184 57232
c43218 -41844 2296
c41497 -41448 14896
c13421 -41382 8344
c16579 -41184 36568
c14630 -41514 40600
c19019 -41316 12376
c22976 -41712 54208
c29283 -43362 -29960
c37312 -39996 18424
c6070 -40788 30016
c15683 -40920 -1736
c38791 -41514 -48104
c30470 -42042 31024
c218 -41910 -29456
c32860 -41844 34048
c16154 -41052 -26432
c11620 -41382 -13832
c14338 -41250 -56168
c20555 -41382 32032
c776 -40656 37576
c24665 -41250 -46088
c26240 -41712 11872
c44233 -41184 -12824
c19051 -41118 40600
c23584 -40524 -50120
c5323 -42174 -39536
c33339 -41712 -5264
c30375 -40590 -22904
c24829 -40920 -41048
c16580 -42504 -32984
c43732 -42174 -29960
c4820 -41382 15400
c444 -41316 -42560
c31190 -41184 -56672
c2698 -40986 40096
c28520 -41778 50176
c1331 -41448 -45584
c7832 -41712 784
c8273 -41118 8344
c33347 -42108 46648
c25001 -41514 41104
c27029 -41316 -16856
c34480 -41514 46144
c36695 -41514 -20888
c27558 -41118 -43064
c32213 -41118 13384
c30732 -41712 -35504
c36042 -41778 -57680
c28077 -40590 31024
c18992 -40788 36568
c16519 -41184 18928
c38818 -40986 32032
c21145 -40326 39592
c9451 -41514 -36512
c9305 -41250 53704
c37538 -41712 19432
c15238 -41910 -36008
c18651 -42372 -28448
c3799 -40920 10864
c21884 -41646 7840
c3337 -41910 -39536
c998 -41118 280
c31731 -41910 51688
c34557 -40986 -46088
c2591 -42042 1792
c13904 -41118 -55664
c44231 -42108 -20384
c11147 -42240 -28448
c19961 -40854 -224
c25435 -41910 1792
c1088 -42636 -7784
c20403 -40656 44632
c23307 -41052 -42560
c1203 -41910 -39032
c38823 -41316 -35504
c41443 -40854 33544
c44169 -40524 -21896
c27203 -40590 40096
c13529 -40260 38080
c4648 -43098 54712
c38021 -39732 18424
c26119 -40194 39592
c9259 -41844 -8792
c9949 -41382 41104
c28144 -41448 784
c41272 -42372 -45080
c30609 -41646 -19880
c26837 -40524 37576
c16654 -41052 -12824
c1853 -40854 13384
c38201 -40722 45640
c11744 -40590 37072
c38219 -41514 1288
c2231 -40590 33040
c38185 -42108 28000
c30926 -40524 -21392
c38947 -40458 -22400
c19668 -41118 -26936
c25754 -40194 -22400
c13220 -40986 17416
c14011 -42240 -7784
c1817 -41052 -5768
c18008 -41712 35056
c36297 -40788 -1232
c32684 -40128 37576
c41388 -41448 11872
c27641 -40722 36064
c20300 -40854 -25928
c40643 -40590 32032
c127 -41778 23968
c1537 -40524 -1232
c41001 -42174 -28952
c12458 -42372 47152
c23536 -40986 41104
c9352 -41184 -40040
c31489 -41448 28000
c28801 -40194 40096
c35264 -41646 -28952
c38331 -40854 -33488
c25226 -40788 54208
c4595 -40656 -23408
c41775 -40722 33544
c25935 -41844 -7784
c29445 -41118 15400
c37443 -40986 -49616
c44694 -40854 46144
c9560 -40986 -20888
c23633 -41250 -47096
c25988 -40260 32536
c999 -40128 9352
c11920 -41712 -7784
c35728 -41778 -39032
c33200 -40458 46144
c13582 -41844 56224
c34453 -41844 -20384
c9034 -41514 -39032
c39399 -41052 46648
c24541 -41580 -46592
c5642 -41118 -29456
c23014 -42108 -45080
c36011 -42636 -30464
c2579 -40722 17920
c9605 -40722 -33488
c3697 -40854 -26936
c33652 -41976 47152
c17302 -40920 -35504
c28312 -41316 47152
c35954 -40524 39088
c11548 -41052 29008
c18095 -40722 -46088
c40393 -40326 -22904
c17078 -41580 -728
c31017 -41778 27496
c15588 -41052 -28448
c36290 -38874 -42056
c35002 -41448 2296
c25224 -41184 -47600
c33983 -40194 -224
c10236 -41382 7840
c31946 -41514 -16352
c18902 -41316 47656
c33924 -40722 24472
c8763 -41052 -2240
c15210 -40656 47152
c32060 -41184 2296
c17175 -40590 48664
c28128 -40722 -29456
c28927 -41514 -57680
c17463 -40062 -22400
c43471 -41382 15904
c37593 -41448 2800
c34677 -41514 -13328
c41361 -40656 47656
c24553 -42174 54712
c25320 -41712 -20384
c14268 -41382 -35000
c34499 -40722 53704
c42941 -41118 23968
c30214 -40458 37072
c42746 -40524 -23408
c21505 -41184 20944
c2602 -40128 -21392
c3746 -41184 -4760
c22163 -40788 -4760
c3148 -40722 40600
c8378 -40656 -1736
c39517 -41514 -27944
c43369 -41184 11872
c24895 -41052 -32984
c38283 -39864 38080
c22289 -41382 -4256
c9062 -41580 34048
c36678 -40722 17416
c8876 -40194 31024
c21481 -40260 28000
c31381 -42306 -8288
c26708 -40986 -28952
c41688 -41448 10360
c20324 -40260 4312
c21296 -40062 31024
c32357 -41250 1288
c29903 -41184 44128
c30403 -40326 32032
c16689 -41910 -8288
c28917 -41448 19432
c25069 -41250 25984
c21677 -40920 -47600
c39535 -39798 39592
c1033 -40656 36568
c44387 -39996 4312
c43225 -40656 -12320
c10257 -40788 -38024
c37119 -41382 -27944
c35422 -41184 -48608
c9317 -41382 -13328
c17830 -41250 50176
c11486 -41184 2800
c6 -41514 22456
c16026 -41844 -45080
c13609 -42174 55216
c16707 -40590 -49112
c32506 -42504 50680
c21912 -41184 13888
c22531 -40128 12376
c8320 -42042 -9296
c13248 -41316 784
c7294 -39732 37576
c41033 -39930 -224
c16606 -40590 40600
c8116 -40590 41104
c44377 -39732 38080
c17443 -41448 -30464
c32766 -41844 -9800
c42773 -40326 -29456
c19736 -40920 2296
c34302 -40722 14392
c38070 -40920 -38528
c10573 -41580 -45080
c20563 -41250 -36512
c11692 -40590 17920
c17523 -41250 1792
c27316 -41448 -2744
c16365 -40392 -5264
c5628 -40656 -41048
c30839 -40524 -35504
c8241 -40854 23968
c12605 -39798 40096
c13846 -41448 34048
c506 -40458 17920
c23846 -40788 -40040
c8546 -40986 -29960
c19658 -40590 -28952
c23135 -40788 29512
c32937 -41316 35056
c13340 -40392 47152
c7616 -40524 -28448
c17918 -40722 -57176
c8083 -40854 51184
c9223 -39600 28504
c22889 -40260 30520
c33152 -41118 -39032
c9929 -40392 -34496
c40392 -40128 -46592
c32206 -39996 47656
c21022 -40986 24976
c8002 -41118 1792
c14595 -41118 -6776
c20561 -39666 40096
c13048 -40062 48664
c7177 -39402 39592
c23438 -39336 28504
c37269 -40062 37072
c22640 -40854 1792
c11202 -39996 48160
c44426 -41052 56224
c6828 -39996 30520
c33359 -41184 -45584
c6743 -40722 -36512
c36647 -40260 -1232
c42772 -40722 -20888
c31290 -38742 -41552
c22356 -40656 2296
c34282 -40656 -42560
c6693 -40854 22960
c31485 -40986 52696
c4956 -40656 -38528
c36266 -40788 11872
c10753 -40062 46144
c6346 -41316 -7784
c44108 -41250 -27944
c25122 -41382 3808
c15439 -41052 34048
c14259 -41052 -30464
c26541 -41382 16912
c487 -41250 -14840
c20250 -39996 -21392
c39181 -40590 49168
c27175 -40326 17416
c41895 -41118 7840
c17006 -40458 14392
c33716 -40854 -55664
c12281 -41184 34552
c920 -39996 46648
c25797 -39996 -21896
c40734 -40656 -40040
c31392 -41712 -8792
c41781 -40854 49672
c22301 -40458 -46088
c23407 -40854 -32480
c31607 -41184 35056
c42149 -41910 26992
c41770 -41316 -8792
c40542 -41250 -48104
c41695 -40722 1792
c17583 -39336 47152
c6074 -41646 51688
c11491 -41646 -39536
c3087 -40788 -19376
c7789 -41118 3808
c31787 -40854 50176
c33940 -41514 -39536
c10800 -41250 -39536
c12505 -40260 -38528
c6821 -41184 5824
c34417 -39996 -56672
c10649 -41052 -37016
c15706 -40260 14896
c20357 -40128 12880
c42497 -40326 24976
c41049 -40524 -37520
c26574 -40458 25480
c11795 -40986 22456
c34686 -40986 -39536
c35102 -41250 -30968
c18001 -40788 -30464
c5440 -41118 -4256
c44236 -40128 58240
c11253 -40326 33040
c8451 -40656 20944
c28757 -41118 16912
c36430 -41052 35056
c12957 -40260 -38024
c17650 -41184 -15344
c24636 -40986 16912
c38522 -40656 -37016
c43729 -39600 38080
c22321 -40590 27496
c29297 -40920 34552
c39275 -40920 -16856
c34606 -40458 -40544
c33646 -41184 -31472
c21188 -40458 3304
c34907 -40062 -29456
c186 -40920 2800
c35807 -41052 -3248
c41329 -41118 53200
c24638 -40392 -55160
c8076 -40326 53704
c17931 -40326 -28952
c39141 -40392 -1736
c17643 -40260 -18368
c37429 -40656 52192
c35818 -40326 36064
c33927 -40392 -40040
c11029 -41052 -8792
c3306 -40722 -49616
c30191 -40260 36568
c14663 -40260 -30464
c39534 -41712 -58184
c44518 -40722 -39536
c4387 -40854 54712
c23499 -40656 -19376
c1451 -39864 -46592
c1809 -40260 -40040
c34534 -40326 33544
c19149 -41052 784
c38369 -40260 -41048
c30798 -40590 22960
c11395 -41250 -27440
c19263 -40590 1288
c33509 -40920 20440
c42037 -40458 -29960
c17428 -41778 -9296
c43453 -40260 -28448
c4678 -41250 -35000
c35909 -40128 -38024
c9814 -40854 -54656
c11464 -41118 8848
c28117 -40986 -31976
c1604 -40986 10360
c19654 -40920 784
c10274 -41250 -9296
c21380 -40920 -45584
c24330 -40392 35560
c24285 -40326 22456
c13538 -40920 -728
c30023 -41118 -27944
c25346 -40326 -54656
c8420 -40392 -37016
c6884 -40656 2800
c17695 -39996 2296
c24075 -40194 36064
c13565 -39996 14896
c17316 -40788 13888
c30413 -40788 -16856
c29408 -40722 -27944
c21086 -38478 -41552
c16101 -40854 8344
c25491 -40788 -3752
c19599 -40854 56728
c31237 -40920 -8792
c3722 -39930 15400
c40977 -39864 12376
c27668 -39336 47656
c15427 -39732 14896
c34876 -40590 -56168
c37897 -39666 23464
c26097 -40194 -28952
c37742 -40788 34552
c24589 -40062 -47096
c37033 -39468 12376
c22336 -40854 3808
c29924 -40590 -4256
c4838 -40392 19936
c6590 -39996 -40040
c34898 -40524 30016
c35555 -40326 -39536
c5795 -40788 29008
c36846 -40062 -29960
c34447 -41250 -10808
c22064 -40062 56728
c15106 -40854 -9296
c36349 -40392 52192
c19129 -40788 -12824
c4582 -40062 -39536
c32106 -39996 -30464
c13468 -40986 -10808
c24796 -39996 -38528
c16679 -41580 50680
c19327 -40590 49672
c1960 -40590 51184
c18198 -41646 -15848
c11781 -40128 -18872
c9263 -39930 31024
c21574 -40788 -3248
c5591 -39732 4312
c15500 -40788 -11816
c39344 -40458 -16352
c36992 -40128 19936
c26175 -41184 -58184
c21421 -39930 -39536
c1524 -39600 -46592
c33071 -40128 -41048
c3834 -40788 34048
c23261 -39864 -38024
c44292 -40854 -17864
c9574 -40326 27496
c42555 -40128 -37016
c44349 -40458 -23912
c25647 -40062 -30968
c9543 -40722 -15848
c7581 -40062 -39032
c22513 -39864 -41048
c41313 -39732 30520
c4398 -40986 18928
c14728 -40326 -49112
c35111 -39534 -57176
c18948 -39930 33544
c38165 -41250 55216
c948 -39996 28000
c21181 -39930 53704
c4107 -40590 21952
c2899 -40194 54712
c34158 -40458 -36512
c43609 -40128 -28448
c918 -40590 -17864
c25458 -40326 -57680
c31494 -40326 50176
c28508 -39930 22960
c21007 -40722 -19880
c1719 -40656 280
c42770 -41712 26488
c39926 -40260 19432
c32942 -40590 4816
c25957 -39534 53704
c12487 -40656 35056
c34779 -40392 -16856
c19199 -40656 -5768
c23513 -40260 -8792
c34267 -40194 25480
c42520 -40128 -18368
c25016 -40590 8344
c38472 -39798 -29456
c44393 -40722 26992
c3892 -40590 23968
c34650 -39468 -56672
c35141 -40326 -20888
c43303 -40326 -56168
c41789 -40392 2800
c40511 -39864 -18872
c18905 -41316 26488
c13899 -40260 52192
c782 -40590 52696
c33119 -40590 34048
c27864 -39864 -30464
c7684 -40854 -7280
c27288 -41580 -52136
c15429 -40392 -3752
c44370 -41448 -20384
c159 -40722 -10808
c18654 -40722 -6776
c33893 -39534 54712
c6114 -40590 784
c32188 -39204 -56672
c34922 -40194 55216
c21901 -39798 -54656
c33048 -40062 36064
c27766 -40194 -4256
c23516 -40590 -27944
c22688 -39468 4312
c44345 -39666 51184
c10812 -40722 -35000
c44127 -40458 -35000
c43174 -41316 -54152
c14840 -40260 -3752
c27795 -40458 18928
c3617 -41316 -52136
c4625 -40656 9856
c20180 -39534 -29456
c11059 -40524 -31976
c29582 -39864 -55160
c29881 -39996 -28448
c34634 -40326 -9296
c23545 -40722 8848
c5587 -40590 -45584
c10518 -41052 -2744
c26493 -40392 -23408
c352 -40524 -3248
c10850 -40986 25984
c30553 -40194 -35000
c20952 -40590 -6776
c37252 -41580 -9800
c31369 -40656 29008
c32540 -38676 58240
c4072 -40590 -25928
c27351 -40194 -16352
c6253 -39600 54208
c10509 -39336 -46592
c22280 -40128 -16856
c38290 -40722 -2240
c6932 -40656 -48608
c13346 -40392 29008
c11991 -40458 49168
c26301 -40458 51688
c30526 -40590 29512
c27341 -40062 -48104
c3031 -40458 784
c3880 -40326 -2240
c24996 -40062 -27440
c40358 -40128 2800
c38022 -40326 -6776
c25285 -40194 -36512
c8792 -40458 3808
c43587 -40194 51688
c22945 -40392 -4760
c4729 -40656 20440
c34674 -38676 28504
c676 -41052 -54152
c26984 -39732 -21896
c39372 -40590 10864
c30100 -40062 27496
c1037 -39864 2800
c3391 -40788 -54152
c10915 -41052 26488
c19718 -40590 -7280
c35372 -40326 21448
c860 -40326 29512
c14325 -40458 -17360
c7695 -39732 -16856
c2722 -40458 11368
c38901 -39666 -22400
c10871 -39798 -16352
c35977 -40128 -48608
c38928 -39996 -1232
c23614 -40326 -7280
c30751 -40260 50680
c40483 -39930 18928
c11695 -39600 52192
c30092 -39864 2296
c22201 -40194 15904
c3671 -40326 16912
c20134 -40194 -17360
c25088 -39864 -8792
c12064 -40194 -46088
c34541 -40326 -45584
c19725 -39270 -57176
c38235 -40062 21448
c19373 -40392 -45080
c18953 -40326 -55664
c41236 -40128 -35504
c34454 -39930 14392
c23968 -38874 53704
c5172 -40128 -54152
c2751 -39468 -54152
c22787 -40392 20440
c35996 -40062 49672
c27247 -39600 50680
c34252 -39798 -20888
c34421 -40062 -15848
c24998 -40260 34552
c559 -40590 -51128
c43495 -40326 25984
c33174 -39138 3304
c16300 -39666 37072
c22618 -38940 -56672
c34768 -40260 23968
c26222 -40920 -15344
c42049 -39930 53200
c16657 -40590 -26936
c41089 -40260 -33488
c22778 -39930 -35000
c43144 -40128 -45080
c8602 -40986 -8288
c3549 -39600 -45080
c42539 -39930 51688
c33785 -40458 13888
c12644 -41316 -58688
c19838 -40854 -10304
c29110 -39864 -48608
c27997 -40854 -8288
c42843 -40392 -44576
c27255 -38148 4312
c12093 -40656 -728
c18896 -39732 -35504
c16701 -40260 -12320
c32086 -40788 31528
c12959 -40854 -14840
c2415 -40194 17920
c3238 -40524 -15344
c30056 -38544 18424
c40875 -40326 -17864
c5024 -40194 13888
c12540 -40128 -4760
c43234 -39534 -16352
c4290 -39534 -28952
c35810 -40260 -20384
c9243 -40260 -15344
c44808 -39732 -47600
c30891 -40656 -52136
c25608 -40128 20440
c20628 -40128 35056
c14372 -40260 29008
c19511 -40128 -5264
c26099 -38478 53704
c24490 -39930 33040
c3790 -39666 57736
c7337 -39930 -36008
c39614 -39864 -15344
c10542 -39930 -9296
c8223 -40458 -8288
c18350 -39798 -26936
c1191 -40062 19432
c43247 -39468 -15344
c1741 -40128 -44576
c37021 -39666 -15848
c43094 -39534 -51632
c38498 -39930 -14840
c14805 -40062 -44072
c39801 -39864 -18368
c12671 -40326 1288
c20574 -39798 -27944
c2310 -41250 -14336
c14501 -39270 55216
c9466 -39996 -20384
c6478 -39402 -15848
c20161 -39666 17920
c107 -39468 -47600
c7358 -39468 -35504
c12531 -40194 -24920
c6069 -39534 -26936
c27167 -40128 4816
c20054 -40920 -2744
c31020 -40392 -9800
c21940 -40260 -50120
c22024 -39732 57232
c12136 -39996 -43064
c10604 -39930 -17360
c8631 -39666 24976
c27981 -39534 -9296
c22370 -39930 -46088
c7278 -40656 -25424
c5393 -39666 1792
c5358 -39996 -34496
c26326 -41118 -13328
c8121 -39666 -27944
c20359 -39996 -31976
