TotalDisplacement 3348653
MaxDisplacement 389
NumCells 210904
c205084 1370 6339
c150637 1370 6291
c15515 1370 4455
c15943 1373 4491
c16997 1371 4995
c151971 1366 5523
c17679 1371 3831
c13992 1371 5343
c151031 1374 5463
c19127 1369 3999
c151483 1373 5511
c160929 1372 10815
c16027 1343 5307
c161681 1373 10827
c16032 1366 5019
c18146 1377 4743
c16009 1360 4647
c16029 1369 5043
c151978 1374 5523
c13983 1379 5523
c16261 1373 4131
c209756 1375 5499
c20496 1375 4047
c13979 1367 5415
c14340 1375 3819
c153643 1375 9243
c152064 1376 5655
c209900 1375 5415
c18838 1376 4611
c151967 1381 5535
c16501 1385 5415
c210112 1377 5691
c209805 1377 7035
c15735 1389 5115
c14861 1378 3735
c14330 1377 5247
c161392 1377 10995
c18118 1372 5055
c15521 1378 4515
c13778 1372 5319
c14675 1378 3999
c16279 1380 4695
c209980 1380 6939
c16005 1381 4851
c17670 1381 4023
c209997 1381 6627
c14319 1362 5163
c151004 1348 5427
c18138 1380 5259
c17486 1383 5319
c15939 1382 3783
c160934 1382 10983
c19132 1380 4215
c16641 1389 5043
c16633 1389 5055
c17016 1378 5439
c161743 1383 10707
c16661 1338 5211
c20497 1385 4131
c151512 1383 6123
c209879 1377 5079
c13889 1381 5235
c16057 1384 4587
c209797 1384 7155
c160814 1384 11031
c19133 1384 4155
c13702 1383 5175
c14670 1384 3987
c16623 1363 5307
c209782 1385 8067
c16743 1318 5403
c13556 1385 3867
c14779 1385 4563
c17084 1388 5007
c126555 1385 6747
c161757 1379 10851
c18179 1386 4455
c14408 1386 4731
c15778 1389 5235
c15516 1386 4299
c17035 1383 5271
c19117 1386 4347
c152061 1386 5655
c14419 1313 5091
c18114 1386 4839
c16034 1386 4743
c14091 1386 4671
c13552 1386 3879
c17681 1386 4503
c151079 1386 5631
c150805 1387 6219
c20931 1389 4215
c14306 1387 4887
c161661 1387 10731
c16001 1388 4719
c46882 1389 6099
c2951 1384 4707
c14683 1388 4203
c160938 1381 11019
c14314 1392 5079
c15510 1391 4515
c14404 1358 4599
c18121 1385 4947
c16507 1387 5331
c151964 1389 5439
c17158 1394 5115
c14329 1360 5151
c13587 1385 5343
c151926 1391 5619
c14790 1391 4839
c17036 1329 5403
c13591 1397 5343
c14669 1391 3975
c161887 1391 10743
c13776 1359 5295
c14342 1386 3843
c161679 1392 10839
c162029 1388 11043
